BioID;FirstName;LastName;BirthDate;BirthCity;BirthCountry
abdelal01;Alaa;Abdelnaby;6/24/1968;Cairo;EGY
abdulka01;Kareem;Abdul-Jabbar;4/16/1947;New York;USA
abdulma01;Mahdi;Abdul-Rahman;4/15/1942;Wilmington;USA
abdulma02;Mahmoud;Abdul-Rauf;3/9/1969;Gulfport;USA
abdulta01;Tariq;Abdul-Wahad;11/3/1974;Maisons Alfort;FRA
abdulza01;Zaid;Abdul-Aziz;4/7/1946;Brooklyn;USA
ablefo01;Forest;Able;7/27/1932;;
abramjo01;John;Abramovic;2/9/1919;Etna;USA
ackeral01;Alex;Acker;1/21/1983;Compton;USA
acresma01;Mark;Acres;11/15/1962;Inglewood;USA
adamsal01;Alvan;Adams;7/19/1954;Lawrence;USA
adamsge01;George;Adams;5/15/1949;Kings Mountain;USA
adamsha01;Hassan;Adams;6/20/1984;Inglewood;USA
adamsmi01;Michael;Adams;1/19/1963;Hartford;USA
addisra01;Rafael;Addison;7/22/1964;Jersey City;USA
adrieje01;Jeff;Adrien;2/10/1986;Brookline;USA
agerma01;Maurice;Ager;2/9/1984;Detroit;USA
aguirma01;Mark;Aguirre;12/10/1959;Chicago;USA
akinhe01;Henry;Akin;7/31/1944;Detroit;USA
alarima01;Mark;Alarie;12/11/1963;Phoenix;USA
alcorga01;Gary;Alcorn;10/8/1936;;
aldrico01;Cole;Aldrich;10/31/1988;Burnsville;USA
aldrila01;LaMarcus;Aldridge;7/19/1985;Dallas;USA
alexaco01;Cory;Alexander;6/22/1973;Waynesboro;USA
alexaco02;Courtney;Alexander;4/27/1977;Bridgeport;USA
alexaga01;Gary;Alexander;11/1/1969;Jacksonville;USA
alexavi01;Victor;Alexander;8/31/1969;Detroit;USA
allenje01;Jerome;Allen;1/28/1973;Philadelphia;USA
allenla01;Lavoy;Allen;2/4/1989;Trenton;USA
allenlu01;Lucius;Allen;9/26/1947;Kansas City;USA
allenma01;Malik;Allen;6/27/1978;Willingboro;USA
allenwi01;Willie;Allen;2/8/1949;;
allisod01;Odis;Allison;10/2/1949;;
allrela01;Lance;Allred;2/2/1981;Salt Lake City;USA
allumda01;Darrell;Allums;9/12/1958;Los Angeles;USA
almonmo01;Morris;Almond;2/2/1985;Dalton;USA
alstode01;Derrick;Alston;8/20/1972;Bronx;USA
alstora01;Rafer;Alston;7/24/1976;New York;USA
alumape01;Peter;Aluma;4/23/1973;Agbe, Lagos;NGR
amaecjo01;John;Amaechi;11/26/1970;Boston;USA
amayaas01;Ashraf;Amaya;11/23/1971;Oak Park;USA
aminual01;Al-Farouq;Aminu;9/21/1990;Atlanta;USA
amundlo01;Louis;Amundson;12/7/1982;Ventura;USA
anderal01;Alan;Anderson;10/16/1982;Minneapolis;USA
anderch01;Chris;Andersen;7/7/1978;Iola;USA
anderda02;Daniel;Anderson;1/1/1951;;
anderde01;Derek;Anderson;7/18/1974;Louisville;USA
anderdw01;Dwight;Anderson;12/28/1960;Dayton;USA
anderer01;Eric;Anderson;5/26/1970;Chicago;USA
anderja01;James;Anderson;3/25/1989;El Dorado;USA
anderje01;Jerome;Anderson;10/9/1953;Mullens;USA
andermi01;Michael;Anderson;3/23/1966;Philadelphia;USA
anderri01;Richard;Anderson;11/19/1960;San Pedro;USA
andersh01;Shandon;Anderson;12/31/1973;Atlanta;USA
anderwi01;Willie;Anderson;1/8/1967;Greenville;USA
andrima01;Martynas;Andriuskevicius;3/12/1986;Kaunas;LTU
anslemi01;Michael;Ansley;2/8/1967;Birmingham;USA
anthoca01;Carmelo;Anthony;5/29/1984;Brooklyn;USA
araujra01;Rafael;Araujo;8/12/1980;Curitiba;BRA
arcenst01;Stacey;Arceneaux;2/17/1936;;
archiro01;Robert;Archibald;3/29/1980;Paisley;SCO
arenagi01;Gilbert;Arenas;1/6/1982;Tampa;USA
arizatr01;Trevor;Ariza;6/30/1985;Miami;USA
arizipa01;Paul;Arizin;4/9/1928;Philadelphia;USA
armstbr01;Brandon;Armstrong;6/16/1980;San Francisco;USA
armstda01;Darrell;Armstrong;6/22/1968;Gastonia;USA
armsthi01;Hilton;Armstrong;11/11/1984;Peekskill;USA
arnetja01;Jay;Arnette;12/19/1938;Austin;USA
arthujo01;John;Arthurs;8/15/1947;;
asikom01;Omer;Asik;7/4/1986;Bursa;TUR
askewvi01;Vincent;Askew;2/28/1966;Memphis;USA
askinke01;Keith;Askins;12/15/1967;Athens;USA
augmost01;Stacey;Augmon;8/1/1968;Pasadena;USA
augusja01;James;Augustine;2/27/1984;Midlothian;USA
austiis01;Isaac;Austin;8/18/1969;Gridley;USA
austike01;Ken;Austin;7/15/1961;Los Angeles;USA
aventan01;Anthony;Avent;10/18/1969;Rocky Mount;USA
averywi01;William;Avery;8/8/1979;Augusta;USA
awtrede01;Dennis;Awtrey;2/22/1948;Hollywood;USA
azubuke01;Kelenna;Azubuike;12/16/1983;London;ENG
babbilu01;Luke;Babbitt;6/20/1989;Cincinnati;USA
babicmi01;Milos;Babic;11/23/1968;Kraljevo;YUG
bagarda01;Dalibor;Bagaric;2/7/1980;Munich;GER
baglejo01;John;Bagley;4/23/1960;Bridgeport;USA
baileca01;Carl;Bailey;4/23/1958;Birmingham;USA
